Ubl Blu Dfr	[Rw: [u2, r U r']]
Ubl Blu Fdl	[F2: [u2, r U r']]
Ubl Blu Fdr	[U': [U' r U, l]]
Ubl Blu Flu	[F: [u2, r U r']]
Ubl Blu Fru	[u2, r U r']
Ubl Blu Lbd	[z R': [u', r' U2 r]]
Ubl Blu Lbu	[U x': [u', r U2 r']]
Ubl Blu Ldf	[z R': [u', r' U' r]]
Ubl Blu Lfu	[u2: [r U r', u]]
Ubl Blu Rbd	[z' Lw: [l u' l', U']]
Ubl Blu Rbu	[u2: [r U r', u']]
Ubl Blu Rdf	[z' Lw: [l u' l', U2]]
Ubl Blu Rfu	[U': [Uw' r' Uw, l]]
Ubl Blu Ubr	[r' u2 r, U]
Ubl Blu Ufl	[Uw: [U, r' u r]]
Ubl Blu Ufr	[U': [r' u2 r, U2]]
Ubl Bru Dbl	[U': [l2, U' r' U]]
Ubl Bru Dbr	[D U': [l2, U' r' U]]
Ubl Bru Dfl	[U' D': [l2, U' r' U]]
Ubl Bru Dfr	[x' U': [U' l' U, r']]
Ubl Bru Fdl	[U': [l', U' r' U]]
Ubl Bru Fdr	[U' x': [U l' U', r2]]
Ubl Bru Flu	[r' U2 r, u2]
Ubl Bru Fru	[x' U': [U' l' U, r2]]
Ubl Bru Lbd	[L: [r' U2 r, u]]
Ubl Bru Lbu	[r' U2 r, u]
Ubl Bru Ldf	[Rw': [U2, r' d r]]
Ubl Bru Lfu	[Rw' U: [r' u' r, U2]]
Ubl Bru Rbd	[Rw' U: [r' u r, U2]]
Ubl Bru Rbu	[R': [r' U2 r, u']]
Ubl Bru Rdf	[R: [r' U2 r, u']]
Ubl Bru Rfu	[r' U2 r, u']
Ubl Bru Ubr	[x' U': [U' l' U, r]]
Ubl Bru Ufl	[U, l u2 l']
Ubl Bru Ufr	[U2, l u2 l']
Ubl Dbl Bdl	[D2: [l, U r2 U']]
Ubl Dbl Bdr	[D: [U r' U', l2]]
Ubl Dbl Blu	[D' U': [l, U' r2 U]]
Ubl Dbl Bru	[U': [U' r' U, l2]]
Ubl Dbl Fdl	[D' U': [l', U' r2 U]]
Ubl Dbl Fdr	[U': [U' r U, l2]]
Ubl Dbl Flu	[D2: [l', U r2 U']]
Ubl Dbl Fru	[D: [U r U', l2]]
Ubl Dbl Lbd	[U l': [l' U2 l, d]]
Ubl Dbl Lbu	[D' Rw': [r' U2 r, u]]
Ubl Dbl Ldf	[3Uw': [U' r U, l2]]
Ubl Dbl Lfu	[y U: [U l U', r2]]
Ubl Dbl Rbd	[y' D U: [l, U r2 U']]
Ubl Dbl Rbu	[D: [Uw r Uw', l2]]
Ubl Dbl Rdf	[Dw: [U r' U', l2]]
Ubl Dbl Rfu	[Uw': [U' r' U, l2]]
Ubl Dbl Ubr	[Rw' D: [U r U', l2]]
Ubl Dbl Ufl	[U': [l2, D' r2 D]]
Ubl Dbl Ufr	[Rw' U': [U' r U, l2]]
Ubl Dbr Bdl	[D': [l, U r2 U']]
Ubl Dbr Bdr	[D2: [U r' U', l2]]
Ubl Dbr Blu	[U': [l, U' r2 U]]
Ubl Dbr Bru	[D U': [U' r' U, l2]]
Ubl Dbr Fdl	[U': [l', U' r2 U]]
Ubl Dbr Fdr	[U' D: [U' r U, l2]]
Ubl Dbr Flu	[D': [l', U r2 U']]
Ubl Dbr Fru	[D2: [U r U', l2]]
Ubl Dbr Lbd	[3Uw': [l', U' r2 U]]
Ubl Dbr Lbu	[Rw': [r' U2 r, u]]
Ubl Dbr Ldf	[Rw: [r U2 r', d]]
Ubl Dbr Lfu	[D' Rw: [r U r', u']]
Ubl Dbr Rbd	[r: [r U2 r', d']]
Ubl Dbr Rbu	[Uw': [l, U' r2 U]]
Ubl Dbr Rdf	[R y: [U' l' U, r2]]
Ubl Dbr Rfu	[y: [U' l' U, r2]]
Ubl Dbr Ubr	[Lw D': [r2, U' l' U]]
Ubl Dbr Ufl	[U': [D l2 D', r2]]
Ubl Dbr Ufr	[D Rw' U': [U' r U, l2]]
Ubl Dfl Bdl	[D: [l, U r2 U']]
Ubl Dfl Bdr	[U r' U', l2]
Ubl Dfl Blu	[D Rw: [r U r', u2]]
Ubl Dfl Bru	[U' D': [U' r' U, l2]]
Ubl Dfl Fdl	[F2: [U r U', l2]]
Ubl Dfl Fdr	[D' U': [U' r U, l2]]
Ubl Dfl Flu	[D: [l', U r2 U']]
Ubl Dfl Fru	[U r U', l2]
Ubl Dfl Lbd	[z u: [r U r', u2]]
Ubl Dfl Lbu	[y' U: [l', U r2 U']]
Ubl Dfl Ldf	[z u: [r U2 r', u2]]
Ubl Dfl Lfu	[u': [U r U', l2]]
Ubl Dfl Rbd	[R': [Uw r Uw', l2]]
Ubl Dfl Rbu	[Uw r Uw', l2]
Ubl Dfl Rdf	[R2: [Uw r Uw', l2]]
Ubl Dfl Rfu	[R: [Uw r Uw', l2]]
Ubl Dfl Ubr	[l2, D r2 D']
Ubl Dfl Ufl	[U: [D r2 D', l2]]
Ubl Dfl Ufr	[Rw' F': [U r U', l2]]
Ubl Dfr Bdl	[l, U r2 U']
Ubl Dfr Bdr	[D': [U r' U', l2]]
Ubl Dfr Blu	[Rw: [r U r', u2]]
Ubl Dfr Bru	[x' U': [r', U' l' U]]
Ubl Dfr Fdl	[U' D: [l', U' r2 U]]
Ubl Dfr Fdr	[x U': [r, U' l U]]
Ubl Dfr Flu	[l', U r2 U']
Ubl Dfr Fru	[D': [U r U', l2]]
Ubl Dfr Lbd	[y': [l', U' r2 U]]
Ubl Dfr Lbu	[U: [Uw' l' Uw, r2]]
Ubl Dfr Ldf	[x z: [r, U l U']]
Ubl Dfr Lfu	[r: [r U r', u']]
Ubl Dfr Rbd	[R' r: [r U r', u]]
Ubl Dfr Rbu	[r: [r U r', u]]
Ubl Dfr Rdf	[r': [r' U r, d]]
Ubl Dfr Rfu	[Rw: [r U r', u]]
Ubl Dfr Ubr	[D' l2 D, r2]
Ubl Dfr Ufl	[U: [r2, D' l2 D]]
Ubl Dfr Ufr	[Lw U': [r2, U' l' U]]
Ubl Fdl Bdl	[x' D2: [U r2 U', l']]
Ubl Fdl Bdr	[d2, r' U r]
Ubl Fdl Blu	[F2: [r U r', u2]]
Ubl Fdl Bru	[U': [U' r' U, l']]
Ubl Fdl Dbl	[D' U': [U' r2 U, l']]
Ubl Fdl Dbr	[U': [U' r2 U, l']]
Ubl Fdl Dfl	[F2: [l2, U r U']]
Ubl Fdl Dfr	[U' D: [U' r2 U, l']]
Ubl Fdl Lbd	[z: [l', Uw r Uw']]
Ubl Fdl Lbu	[z U': [l', Uw r Uw']]
Ubl Fdl Ldf	[z U: [l', Uw r Uw']]
Ubl Fdl Lfu	[F2: [r U r', u']]
Ubl Fdl Rbd	[F': [r U2 r', d']]
Ubl Fdl Rbu	[F: [Uw r Uw', l']]
Ubl Fdl Rdf	[U: [l' U2 l, d']]
